ID Anúncio,Título (BR),Fonte,Vendedor,URL,Preço BR (R$),Qtd disponível,SKU,Produto (canônico),Tipo,Coleção,Preço US (US$),Câmbio USD/BRL,Preço US (R$),Lucro bruto (R$),Margem total %,Mais barato que US %,Lucro líquido est. (R$),Margem líquida est. %,Confiança do match,Confiança do deal,Risco principal,Ação recomendada,Motivo de rejeição
LIGA-133957-1,(ING) Booster Bundle - Megaevolução 1 - Megaevolução (English),liga,loja#490654,https://www.ligapokemon.com.br/?view=prod/view&pcode=133957&prod=(ING) Combo de Pacotes - Megaevolução 1 - Megaevolução,174.95,18,meg-booster-bundle,Mega Evolution Booster Bundle (English),Booster Bundle,Mega Evolution,59.66,5.1671,308.27,133.32,76.20,43.25,-37.17,-21.25,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133957-2,(ING) Booster Bundle - Megaevolução 1 - Megaevolução (English),liga,loja#501179,https://www.ligapokemon.com.br/?view=prod/view&pcode=133957&prod=(ING) Combo de Pacotes - Megaevolução 1 - Megaevolução,174.95,24,meg-booster-bundle,Mega Evolution Booster Bundle (English),Booster Bundle,Mega Evolution,59.66,5.1671,308.27,133.32,76.20,43.25,-37.17,-21.25,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133957-3,(ING) Booster Bundle - Megaevolução 1 - Megaevolução (English),liga,loja#491109,https://www.ligapokemon.com.br/?view=prod/view&pcode=133957&prod=(ING) Combo de Pacotes - Megaevolução 1 - Megaevolução,175.0,58,meg-booster-bundle,Mega Evolution Booster Bundle (English),Booster Bundle,Mega Evolution,59.66,5.1671,308.27,133.27,76.15,43.23,-37.22,-21.27,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133779-1,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus (English),liga,loja#489177,https://www.ligapokemon.com.br/?view=prod/view&pcode=133779&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus,109.9,3,blk-tech-sticker,Black Bolt Tech Sticker (English),Tech Sticker,Black Bolt,37.13,5.1671,191.85,81.95,74.57,42.72,-67.58,-61.49,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133779-2,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus (English),liga,loja#700819,https://www.ligapokemon.com.br/?view=prod/view&pcode=133779&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus,109.99,12,blk-tech-sticker,Black Bolt Tech Sticker (English),Tech Sticker,Black Bolt,37.13,5.1671,191.85,81.86,74.43,42.67,-67.67,-61.52,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133957-4,(ING) Booster Bundle - Megaevolução 1 - Megaevolução (English),liga,loja#454005,https://www.ligapokemon.com.br/?view=prod/view&pcode=133957&prod=(ING) Combo de Pacotes - Megaevolução 1 - Megaevolução,179.0,1,meg-booster-bundle,Mega Evolution Booster Bundle (English),Booster Bundle,Mega Evolution,59.66,5.1671,308.27,129.27,72.22,41.93,-41.22,-23.03,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133443-1,(ING) Booster Pack - Escarlate e Violeta 10 - Destined Rivals (English),liga,loja#88061,https://www.ligapokemon.com.br/?view=prod/view&pcode=133443&prod=(ING) Booster Avulso - Escarlate e Violeta 10 - Rivais Predestinados,31.99,14,dri-pack-en,Destined Rivals Booster Pack (English),Sleeved Booster,Destined Rivals,10.62,5.1671,54.87,22.88,71.54,41.70,8.22,25.68,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133957-5,(ING) Booster Bundle - Megaevolução 1 - Megaevolução (English),liga,loja#127360,https://www.ligapokemon.com.br/?view=prod/view&pcode=133957&prod=(ING) Combo de Pacotes - Megaevolução 1 - Megaevolução,179.8,17,meg-booster-bundle,Mega Evolution Booster Bundle (English),Booster Bundle,Mega Evolution,59.66,5.1671,308.27,128.47,71.45,41.67,-42.02,-23.37,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133957-6,(ING) Booster Bundle - Megaevolução 1 - Megaevolução (English),liga,loja#712975,https://www.ligapokemon.com.br/?view=prod/view&pcode=133957&prod=(ING) Combo de Pacotes - Megaevolução 1 - Megaevolução,179.89,6,meg-booster-bundle,Mega Evolution Booster Bundle (English),Booster Bundle,Mega Evolution,59.66,5.1671,308.27,128.38,71.37,41.65,-42.11,-23.41,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133957-7,(ING) Booster Bundle - Megaevolução 1 - Megaevolução (English),liga,loja#15760,https://www.ligapokemon.com.br/?view=prod/view&pcode=133957&prod=(ING) Combo de Pacotes - Megaevolução 1 - Megaevolução,179.95,12,meg-booster-bundle,Mega Evolution Booster Bundle (English),Booster Bundle,Mega Evolution,59.66,5.1671,308.27,128.32,71.31,41.63,-42.17,-23.43,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
