ID Anúncio,Título (BR),Fonte,Vendedor,URL,Preço BR (R$),Qtd disponível,SKU,Produto (canônico),Tipo,Coleção,Preço US (US$),Câmbio USD/BRL,Preço US (R$),Lucro bruto (R$),Margem total %,Mais barato que US %,Lucro líquido est. (R$),Margem líquida est. %,Confiança do match,Confiança do deal,Risco principal,Ação recomendada,Motivo de rejeição
LIGA-135529-2,(ING) Elite Trainer Box - Megaevolução 3 - Perfect Order (English),liga,loja#670855,https://www.ligapokemon.com.br/?view=prod/view&pcode=135529&prod=(ING) Coleção Treinador Avançado - Megaevolução 3 - Equilíbrio Perfeito,286.0,12,po-etb-en,Perfect Order Elite Trainer Box (English),Elite Trainer Box,Perfect Order,71.74,5.1671,370.69,84.69,29.61,22.85,-97.04,-33.93,HIGH,RED,Margem total 29.6% abaixo do piso de 30%,Ignorar,margem_total_abaixo_do_minimo
LIGA-135529-3,(ING) Elite Trainer Box - Megaevolução 3 - Perfect Order (English),liga,loja#39542,https://www.ligapokemon.com.br/?view=prod/view&pcode=135529&prod=(ING) Coleção Treinador Avançado - Megaevolução 3 - Equilíbrio Perfeito,287.4,8,po-etb-en,Perfect Order Elite Trainer Box (English),Elite Trainer Box,Perfect Order,71.74,5.1671,370.69,83.29,28.98,22.47,-98.44,-34.25,HIGH,RED,Margem total 29.0% abaixo do piso de 30%,Ignorar,margem_total_abaixo_do_minimo
LIGA-135529-4,(ING) Elite Trainer Box - Megaevolução 3 - Perfect Order (English),liga,loja#501179,https://www.ligapokemon.com.br/?view=prod/view&pcode=135529&prod=(ING) Coleção Treinador Avançado - Megaevolução 3 - Equilíbrio Perfeito,289.95,20,po-etb-en,Perfect Order Elite Trainer Box (English),Elite Trainer Box,Perfect Order,71.74,5.1671,370.69,80.74,27.85,21.78,-100.99,-34.83,HIGH,RED,Margem total 27.9% abaixo do piso de 30%,Ignorar,margem_total_abaixo_do_minimo
LIGA-135529-5,(ING) Elite Trainer Box - Megaevolução 3 - Perfect Order (English),liga,loja#22773,https://www.ligapokemon.com.br/?view=prod/view&pcode=135529&prod=(ING) Coleção Treinador Avançado - Megaevolução 3 - Equilíbrio Perfeito,290.99,20,po-etb-en,Perfect Order Elite Trainer Box (English),Elite Trainer Box,Perfect Order,71.74,5.1671,370.69,79.7,27.39,21.50,-102.03,-35.06,HIGH,RED,Margem total 27.4% abaixo do piso de 30%,Ignorar,margem_total_abaixo_do_minimo
LIGA-135530-1,(ING) Booster Box - Megaevolução 3 - Perfect Order (English),liga,loja#39542,https://www.ligapokemon.com.br/?view=prod/view&pcode=135530&prod=(ING) Caixa de Booster - Megaevolução 3 - Equilíbrio Perfeito,899.7,8,po-box-en,Perfect Order Booster Box (English),Booster Box,Perfect Order,220.18,5.1671,1137.69,237.99,26.45,20.92,-81.79,-9.09,HIGH,RED,Margem total 26.5% abaixo do piso de 30%,Ignorar,margem_total_abaixo_do_minimo
LIGA-135865-1,(ING) Booster Bundle - Megaevolução 4 - Chaos Rising (English),liga,loja#199297,https://www.ligapokemon.com.br/?view=prod/view&pcode=135865&prod=(ING) Combo de Pacotes - Megaevolução 4 - Caos Ascendente,185.0,4,cr-bundle-en,Chaos Rising Booster Bundle (English),Booster Bundle,Chaos Rising,45.21,5.1671,233.6,48.6,26.27,20.81,-108.44,-58.62,HIGH,RED,Margem total 26.3% abaixo do piso de 30%,Ignorar,margem_total_abaixo_do_minimo
LIGA-133778-16,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle (English),liga,loja#86960,https://www.ligapokemon.com.br/?view=prod/view&pcode=133778&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle,154.9,5,wht-tech-sticker,White Flare Tech Sticker (English),Tech Sticker,White Flare,37.77,5.1671,195.16,40.26,25.99,20.63,-109.87,-70.93,HIGH,RED,Margem total 26.0% abaixo do piso de 30%,Ignorar,margem_total_abaixo_do_minimo
LIGA-135529-6,(ING) Elite Trainer Box - Megaevolução 3 - Perfect Order (English),liga,loja#490654,https://www.ligapokemon.com.br/?view=prod/view&pcode=135529&prod=(ING) Coleção Treinador Avançado - Megaevolução 3 - Equilíbrio Perfeito,294.5,10,po-etb-en,Perfect Order Elite Trainer Box (English),Elite Trainer Box,Perfect Order,71.74,5.1671,370.69,76.19,25.87,20.55,-105.54,-35.84,HIGH,RED,Margem total 25.9% abaixo do piso de 30%,Ignorar,margem_total_abaixo_do_minimo
LIGA-133177-3,(ING) Booster Bundle - Escarlate e Violeta 9 - Journey Together (English),liga,loja#461,https://www.ligapokemon.com.br/?view=prod/view&pcode=133177&prod=(ING) Combo de Pacotes - Escarlate e Violeta 9 - Amigos de Jornada,189.9,10,jtg-bundle-en,Journey Together Booster Bundle (English),Booster Bundle,Journey Together,46.22,5.1671,238.82,48.92,25.76,20.49,-109.06,-57.43,HIGH,RED,Margem total 25.8% abaixo do piso de 30%,Ignorar,margem_total_abaixo_do_minimo
LIGA-135529-7,(ING) Elite Trainer Box - Megaevolução 3 - Perfect Order (English),liga,loja#88876,https://www.ligapokemon.com.br/?view=prod/view&pcode=135529&prod=(ING) Coleção Treinador Avançado - Megaevolução 3 - Equilíbrio Perfeito,294.95,8,po-etb-en,Perfect Order Elite Trainer Box (English),Elite Trainer Box,Perfect Order,71.74,5.1671,370.69,75.74,25.68,20.43,-105.99,-35.93,HIGH,RED,Margem total 25.7% abaixo do piso de 30%,Ignorar,margem_total_abaixo_do_minimo
