ID Anúncio,Título (BR),Fonte,Vendedor,URL,Preço BR (R$),Qtd disponível,SKU,Produto (canônico),Tipo,Coleção,Preço US (US$),Câmbio USD/BRL,Preço US (R$),Lucro bruto (R$),Margem total %,Mais barato que US %,Lucro líquido est. (R$),Margem líquida est. %,Confiança do match,Confiança do deal,Risco principal,Ação recomendada,Motivo de rejeição
LIGA-133778-9,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle (English),liga,loja#56925,https://www.ligapokemon.com.br/?view=prod/view&pcode=133778&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle,139.9,9,wht-tech-sticker,White Flare Tech Sticker (English),Tech Sticker,White Flare,37.77,5.1671,195.16,55.26,39.50,28.32,-94.87,-67.81,HIGH,YELLOW,Margem total 39.5% entre o piso 30% e o alvo 40%,Revisar — margem perto do alvo,
LIGA-133778-10,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle (English),liga,loja#318218,https://www.ligapokemon.com.br/?view=prod/view&pcode=133778&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle,139.9,6,wht-tech-sticker,White Flare Tech Sticker (English),Tech Sticker,White Flare,37.77,5.1671,195.16,55.26,39.50,28.32,-94.87,-67.81,HIGH,YELLOW,Margem total 39.5% entre o piso 30% e o alvo 40%,Revisar — margem perto do alvo,
LIGA-133778-11,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle (English),liga,loja#88876,https://www.ligapokemon.com.br/?view=prod/view&pcode=133778&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle,139.95,65,wht-tech-sticker,White Flare Tech Sticker (English),Tech Sticker,White Flare,37.77,5.1671,195.16,55.21,39.45,28.29,-94.92,-67.82,HIGH,YELLOW,Margem total 39.5% entre o piso 30% e o alvo 40%,Revisar — margem perto do alvo,
LIGA-133778-12,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle (English),liga,loja#104217,https://www.ligapokemon.com.br/?view=prod/view&pcode=133778&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle,140.0,1,wht-tech-sticker,White Flare Tech Sticker (English),Tech Sticker,White Flare,37.77,5.1671,195.16,55.16,39.40,28.26,-94.97,-67.83,HIGH,YELLOW,Margem total 39.4% entre o piso 30% e o alvo 40%,Revisar — margem perto do alvo,
LIGA-133778-13,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle (English),liga,loja#159018,https://www.ligapokemon.com.br/?view=prod/view&pcode=133778&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle,140.0,2,wht-tech-sticker,White Flare Tech Sticker (English),Tech Sticker,White Flare,37.77,5.1671,195.16,55.16,39.40,28.26,-94.97,-67.83,HIGH,YELLOW,Margem total 39.4% entre o piso 30% e o alvo 40%,Revisar — margem perto do alvo,
LIGA-133779-13,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus (English),liga,loja#64102,https://www.ligapokemon.com.br/?view=prod/view&pcode=133779&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus,138.9,12,blk-tech-sticker,Black Bolt Tech Sticker (English),Tech Sticker,Black Bolt,37.13,5.1671,191.85,52.95,38.12,27.60,-96.58,-69.53,HIGH,YELLOW,Margem total 38.1% entre o piso 30% e o alvo 40%,Revisar — margem perto do alvo,
LIGA-133779-14,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus (English),liga,loja#64102,https://www.ligapokemon.com.br/?view=prod/view&pcode=133779&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus,138.9,12,blk-tech-sticker,Black Bolt Tech Sticker (English),Tech Sticker,Black Bolt,37.13,5.1671,191.85,52.95,38.12,27.60,-96.58,-69.53,HIGH,YELLOW,Margem total 38.1% entre o piso 30% e o alvo 40%,Revisar — margem perto do alvo,
LIGA-133443-6,(ING) Booster Pack - Escarlate e Violeta 10 - Destined Rivals (English),liga,loja#645953,https://www.ligapokemon.com.br/?view=prod/view&pcode=133443&prod=(ING) Booster Avulso - Escarlate e Violeta 10 - Rivais Predestinados,39.9,13,dri-pack-en,Destined Rivals Booster Pack (English),Sleeved Booster,Destined Rivals,10.62,5.1671,54.87,14.97,37.53,27.29,0.31,0.77,HIGH,YELLOW,Margem total 37.5% entre o piso 30% e o alvo 40%,Revisar — margem perto do alvo,
LIGA-133779-15,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus (English),liga,loja#56925,https://www.ligapokemon.com.br/?view=prod/view&pcode=133779&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus,139.9,18,blk-tech-sticker,Black Bolt Tech Sticker (English),Tech Sticker,Black Bolt,37.13,5.1671,191.85,51.95,37.14,27.08,-97.58,-69.75,HIGH,YELLOW,Margem total 37.1% entre o piso 30% e o alvo 40%,Revisar — margem perto do alvo,
LIGA-133779-16,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus (English),liga,loja#318218,https://www.ligapokemon.com.br/?view=prod/view&pcode=133779&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus,139.9,6,blk-tech-sticker,Black Bolt Tech Sticker (English),Tech Sticker,Black Bolt,37.13,5.1671,191.85,51.95,37.14,27.08,-97.58,-69.75,HIGH,YELLOW,Margem total 37.1% entre o piso 30% e o alvo 40%,Revisar — margem perto do alvo,
